Iteration	Durchschnittsdichte
689	1.00866
690	1.00864
691	1.00864
692	1.00866
693	1.00865
694	1.00863
695	1.00862
696	1.00862
697	1.00865
698	1.00864
699	1.00863
700	1.00862
701	1.00863
702	1.00861
703	1.00859
704	1.00858
705	1.00859
706	1.00862
707	1.00862
708	1.00861
709	1.00861
710	1.00863
711	1.00861
712	1.00859
713	1.00858
714	1.00859
715	1.00863
716	1.00862
717	1.00861
718	1.00861
719	1.00862
720	1.0086
721	1.00858
722	1.00857
723	1.00858
724	1.00861
725	1.00861
726	1.0086
727	1.0086
728	1.00861
729	1.00859
730	1.00857
731	1.00857
732	1.00858
733	1.00857
734	1.00855
735	1.00854
736	1.00856
737	1.0086
738	1.00861
739	1.00855
740	1.00849
741	1.00844
742	1.00843
743	1.00846
744	1.00852
745	1.00855
746	1.00857
747	1.00854
748	1.0085
749	1.00849
750	1.00851
751	1.00856
752	1.00857
753	1.00852
754	1.00846
755	1.00843
756	1.00843
757	1.00846
758	1.00853
759	1.00856
760	1.00853
761	1.00848
762	1.00845
763	1.00846
764	1.0085
765	1.00857
766	1.0086
767	1.00856
768	1.00851
769	1.00847
770	1.00847
771	1.0085
772	1.00856
773	1.00859
774	1.00854
775	1.00849
776	1.00845
777	1.00845
778	1.00848
779	1.00855
780	1.00857
781	1.00854
782	1.00849
783	1.00845
784	1.00846
785	1.0085
786	1.00856
787	1.00859
788	1.00855
789	1.0085
790	1.00847
791	1.00847
792	1.0085
793	1.00856
794	1.00859
795	1.00855
796	1.00849
797	1.00846
798	1.00845
799	1.00849
800	1.00855
801	1.00858
802	1.00854
803	1.00849
804	1.00845
805	1.00845
806	1.00849
807	1.00855
808	1.00858
809	1.00854
810	1.00849
811	1.00845
812	1.00845
813	1.00849
814	1.00855
815	1.00857
816	1.00853
817	1.00848
818	1.00844
819	1.00844
820	1.00848
821	1.00849
822	1.0085
823	1.00851
824	1.0085
825	1.00848
826	1.00848
827	1.00851
828	1.00851
829	1.00851
830	1.00847
831	1.00842
832	1.00841
833	1.00842
834	1.00847
835	1.00849
836	1.00845
837	1.0084
838	1.00837
839	1.00838
840	1.00843
841	1.00845
842	1.00842
843	1.00838
844	1.00836
845	1.00837
846	1.00843
847	1.00845
848	1.00842
849	1.00838
850	1.00836
851	1.00838
852	1.00837
853	1.00838
854	1.0084
855	1.0084
856	1.00839
857	1.00835
858	1.00832
859	1.00832
860	1.00835
861	1.00836
862	1.00832
863	1.00828
864	1.00827
865	1.00829
866	1.00829
867	1.00831
868	1.0083
869	1.00828
870	1.0083
871	1.00829
872	1.0083
873	1.00827
874	1.00825
875	1.00826
876	1.00825
877	1.00826
878	1.00823
879	1.00822
880	1.00823
881	1.00823
882	1.00824
883	1.00822
884	1.00821
885	1.00817
886	1.00816
887	1.00818
888	1.00818
889	1.0082
890	1.00819
891	1.00819
892	1.00816
893	1.00816
894	1.00818
895	1.00819
896	1.00816
897	1.00813
898	1.00814
899	1.00813
900	1.00815
901	1.00814
902	1.00815
903	1.00813
904	1.00813
905	1.00816
906	1.00818
907	1.00816
908	1.00814
909	1.00815
910	1.00815
911	1.00817
912	1.00817
913	1.00818
914	1.00816
915	1.00816
916	1.00819
917	1.00821
918	1.00818
919	1.00817
920	1.00818
921	1.00823
922	1.00826
923	1.00825
924	1.00824
925	1.00826
926	1.00825
927	1.00826
928	1.00829
929	1.00831
930	1.00827
931	1.00824
932	1.00824
933	1.00828
934	1.0083
935	1.00834
936	1.00833
937	1.00833
938	1.00835
939	1.00835
940	1.00836
941	1.00834
942	1.00833
943	1.00834
944	1.00838
945	1.0084
946	1.00837
947	1.00834
948	1.00833
949	1.00836
950	1.00842
951	1.00845
952	1.00843
953	1.0084
954	1.00839
955	1.00841
956	1.00846
957	1.00849
958	1.00845
959	1.00841
960	1.00839
961	1.00841
962	1.00846
963	1.00849
964	1.00851
965	1.0085
966	1.00848
967	1.00848
968	1.00851
969	1.00857
970	1.00859
971	1.00855
972	1.0085
973	1.00847
974	1.00847
975	1.00851
976	1.00858
977	1.00861
978	1.00857
979	1.00852
980	1.00849
981	1.00849
982	1.00853
983	1.0086
984	1.00863
985	1.0086
986	1.00855
987	1.00851
988	1.00851
989	1.00855
990	1.00862
991	1.00864
992	1.00866
993	1.00862
994	1.00858
995	1.00856
996	1.00858
997	1.00862
998	1.00868
999	1.0087
1000	1.00864
