Simulationsschritt	Durchschnittsdichte
1179	1.00101
1180	1.00101
1181	1.001
1182	1.001
1183	1.001
1184	1.001
1185	1.001
1186	1.00101
1187	1.00101
1188	1.00101
1189	1.00101
1190	1.00101
1191	1.00101
1192	1.00101
1193	1.00101
1194	1.00102
1195	1.00102
1196	1.00102
1197	1.00102
1198	1.00103
1199	1.00103
1200	1.00103
1201	1.00103
1202	1.00104
1203	1.00104
1204	1.00104
1205	1.00105
1206	1.00105
1207	1.00105
1208	1.00106
1209	1.00106
1210	1.00106
1211	1.00107
1212	1.00107
1213	1.00107
1214	1.00107
1215	1.00108
1216	1.00108
1217	1.00108
1218	1.00108
1219	1.00108
1220	1.00109
1221	1.00109
1222	1.00109
1223	1.00109
1224	1.0011
1225	1.0011
1226	1.0011
1227	1.0011
1228	1.0011
1229	1.0011
1230	1.0011
1231	1.0011
1232	1.0011
1233	1.0011
1234	1.0011
1235	1.0011
1236	1.0011
1237	1.0011
1238	1.0011
1239	1.00109
1240	1.00109
1241	1.00109
1242	1.00109
1243	1.00109
1244	1.00109
1245	1.00109
1246	1.00109
1247	1.00109
1248	1.00109
1249	1.00109
1250	1.00109
1251	1.00109
1252	1.00109
1253	1.00109
1254	1.0011
1255	1.0011
1256	1.0011
1257	1.0011
1258	1.0011
1259	1.0011
1260	1.0011
1261	1.00109
1262	1.00109
1263	1.00109
1264	1.00109
1265	1.00109
1266	1.00109
1267	1.00109
1268	1.00109
1269	1.00109
1270	1.00109
1271	1.00109
1272	1.00109
1273	1.00109
1274	1.00108
1275	1.00108
1276	1.00108
1277	1.00108
1278	1.00108
1279	1.00108
1280	1.00107
1281	1.00107
1282	1.00106
1283	1.00106
1284	1.00106
1285	1.00106
1286	1.00105
1287	1.00105
1288	1.00105
1289	1.00105
1290	1.00105
1291	1.00104
1292	1.00104
1293	1.00104
1294	1.00104
1295	1.00104
1296	1.00104
1297	1.00104
1298	1.00104
1299	1.00104
1300	1.00104
1301	1.00104
1302	1.00103
1303	1.00103
1304	1.00103
1305	1.00103
1306	1.00103
1307	1.00103
1308	1.00102
1309	1.00102
1310	1.00102
1311	1.00102
1312	1.00102
1313	1.00101
1314	1.00101
1315	1.00101
1316	1.00101
1317	1.00101
1318	1.001
1319	1.001
1320	1.001
1321	1.001
1322	1.001
1323	1.001
1324	1.001
1325	1.00099
1326	1.00099
1327	1.00099
1328	1.00098
1329	1.00098
1330	1.00097
1331	1.00097
1332	1.00097
1333	1.00097
1334	1.00096
1335	1.00096
1336	1.00096
1337	1.00096
1338	1.00096
1339	1.00095
1340	1.00095
1341	1.00095
1342	1.00095
1343	1.00095
1344	1.00095
1345	1.00094
1346	1.00094
1347	1.00094
1348	1.00094
1349	1.00094
1350	1.00094
1351	1.00094
1352	1.00094
1353	1.00094
1354	1.00094
1355	1.00094
1356	1.00094
1357	1.00094
1358	1.00094
1359	1.00094
1360	1.00093
1361	1.00093
1362	1.00093
1363	1.00093
1364	1.00093
1365	1.00093
1366	1.00093
1367	1.00093
1368	1.00093
1369	1.00093
1370	1.00093
1371	1.00093
1372	1.00093
1373	1.00093
1374	1.00093
1375	1.00093
1376	1.00093
1377	1.00093
1378	1.00093
1379	1.00093
1380	1.00093
1381	1.00093
1382	1.00093
1383	1.00093
1384	1.00093
1385	1.00093
1386	1.00093
1387	1.00093
1388	1.00093
1389	1.00093
1390	1.00093
1391	1.00093
1392	1.00093
1393	1.00093
1394	1.00093
1395	1.00093
1396	1.00093
1397	1.00093
1398	1.00093
1399	1.00093
1400	1.00093
1401	1.00093
1402	1.00093
1403	1.00093
1404	1.00093
1405	1.00094
1406	1.00094
1407	1.00094
1408	1.00094
1409	1.00094
1410	1.00094
1411	1.00095
1412	1.00095
1413	1.00095
1414	1.00096
1415	1.00096
1416	1.00096
1417	1.00097
1418	1.00097
1419	1.00097
1420	1.00097
1421	1.00097
1422	1.00097
1423	1.00098
1424	1.00098
1425	1.00098
1426	1.00098
1427	1.00098
1428	1.00098
1429	1.00099
1430	1.00099
1431	1.00099
1432	1.00099
1433	1.001
1434	1.001
1435	1.001
1436	1.00101
1437	1.00101
1438	1.00101
1439	1.00101
1440	1.00102
1441	1.00102
1442	1.00102
1443	1.00102
1444	1.00103
1445	1.00103
1446	1.00103
1447	1.00103
1448	1.00104
1449	1.00104
1450	1.00104
1451	1.00104
1452	1.00104
1453	1.00104
1454	1.00104
1455	1.00104
1456	1.00104
1457	1.00104
1458	1.00104
1459	1.00104
1460	1.00104
1461	1.00105
1462	1.00105
1463	1.00105
1464	1.00105
1465	1.00105
1466	1.00105
1467	1.00105
1468	1.00105
1469	1.00106
1470	1.00106
1471	1.00106
1472	1.00106
1473	1.00106
1474	1.00107
1475	1.00107
1476	1.00107
1477	1.00107
1478	1.00107
1479	1.00107
1480	1.00107
1481	1.00107
1482	1.00107
1483	1.00107
1484	1.00108
1485	1.00108
1486	1.00108
1487	1.00108
1488	1.00108
1489	1.00108
1490	1.00108
1491	1.00108
1492	1.00108
1493	1.00108
1494	1.00108
1495	1.00108
1496	1.00108
1497	1.00108
1498	1.00108
1499	1.00108
1500	1.00108
1501	1.00108
1502	1.00108
1503	1.00108
1504	1.00108
1505	1.00108
1506	1.00108
1507	1.00108
1508	1.00108
1509	1.00109
1510	1.00109
1511	1.00109
1512	1.00109
1513	1.00109
1514	1.00109
1515	1.00109
1516	1.00109
1517	1.00109
1518	1.00109
1519	1.00109
1520	1.00108
1521	1.00108
1522	1.00108
1523	1.00108
1524	1.00108
1525	1.00107
1526	1.00107
1527	1.00107
1528	1.00107
1529	1.00107
1530	1.00107
1531	1.00107
1532	1.00107
1533	1.00107
1534	1.00107
1535	1.00107
1536	1.00107
1537	1.00106
1538	1.00106
1539	1.00106
1540	1.00106
1541	1.00106
1542	1.00105
1543	1.00105
1544	1.00105
1545	1.00105
1546	1.00104
1547	1.00104
1548	1.00104
1549	1.00104
1550	1.00103
1551	1.00103
1552	1.00103
1553	1.00102
1554	1.00102
1555	1.00102
1556	1.00101
1557	1.00101
1558	1.00101
1559	1.00101
1560	1.001
1561	1.001
1562	1.001
1563	1.00099
1564	1.00099
1565	1.00098
1566	1.00098
1567	1.00097
1568	1.00097
1569	1.00097
1570	1.00096
1571	1.00096
1572	1.00096
1573	1.00095
1574	1.00095
1575	1.00095
1576	1.00094
1577	1.00094
1578	1.00094
1579	1.00094
1580	1.00094
1581	1.00094
1582	1.00094
1583	1.00094
1584	1.00094
1585	1.00094
1586	1.00094
1587	1.00094
1588	1.00094
1589	1.00094
1590	1.00094
1591	1.00094
1592	1.00094
1593	1.00094
1594	1.00093
1595	1.00093
1596	1.00093
1597	1.00093
1598	1.00093
1599	1.00093
1600	1.00093
1601	1.00093
1602	1.00093
1603	1.00093
1604	1.00093
1605	1.00093
1606	1.00093
1607	1.00093
1608	1.00093
1609	1.00093
1610	1.00093
1611	1.00093
1612	1.00093
1613	1.00093
1614	1.00092
1615	1.00092
1616	1.00092
1617	1.00092
1618	1.00092
1619	1.00092
1620	1.00092
1621	1.00092
1622	1.00092
1623	1.00092
1624	1.00093
1625	1.00093
1626	1.00093
1627	1.00093
1628	1.00093
1629	1.00093
1630	1.00093
1631	1.00093
1632	1.00093
1633	1.00093
1634	1.00093
1635	1.00093
1636	1.00093
1637	1.00093
1638	1.00093
1639	1.00093
1640	1.00093
1641	1.00093
1642	1.00093
1643	1.00094
1644	1.00094
1645	1.00094
1646	1.00094
1647	1.00094
1648	1.00094
1649	1.00094
1650	1.00095
1651	1.00095
1652	1.00095
1653	1.00095
1654	1.00095
1655	1.00095
1656	1.00096
1657	1.00096
1658	1.00096
1659	1.00096
1660	1.00096
1661	1.00096
1662	1.00096
1663	1.00097
1664	1.00097
1665	1.00097
1666	1.00097
1667	1.00097
1668	1.00097
1669	1.00097
1670	1.00097
1671	1.00097
1672	1.00098
1673	1.00098
1674	1.00098
1675	1.00098
1676	1.00098
1677	1.00099
1678	1.00099
1679	1.00099
1680	1.001
1681	1.001
1682	1.00101
1683	1.00101
1684	1.00101
1685	1.00101
1686	1.00102
1687	1.00102
1688	1.00102
1689	1.00102
1690	1.00103
1691	1.00103
1692	1.00103
1693	1.00103
1694	1.00103
1695	1.00104
1696	1.00104
1697	1.00104
1698	1.00104
1699	1.00104
1700	1.00104
1701	1.00104
1702	1.00104
1703	1.00104
1704	1.00104
1705	1.00104
1706	1.00105
1707	1.00105
1708	1.00105
1709	1.00105
1710	1.00104
1711	1.00104
1712	1.00104
1713	1.00104
1714	1.00104
1715	1.00104
1716	1.00104
1717	1.00104
1718	1.00104
1719	1.00104
1720	1.00105
1721	1.00105
1722	1.00105
1723	1.00105
1724	1.00105
1725	1.00105
1726	1.00105
1727	1.00105
1728	1.00105
1729	1.00105
1730	1.00105
1731	1.00105
1732	1.00105
1733	1.00105
1734	1.00105
1735	1.00105
1736	1.00104
1737	1.00104
1738	1.00104
1739	1.00104
1740	1.00104
1741	1.00104
1742	1.00104
1743	1.00104
1744	1.00104
1745	1.00104
1746	1.00104
1747	1.00104
1748	1.00104
1749	1.00104
1750	1.00104
1751	1.00104
1752	1.00104
1753	1.00104
1754	1.00105
